Phecode,Phenotype,Category,Mean Age,#Cases /#Samples,%Female,#SOMAscan Proteins,#Olink Proteins,#Metabolon Metabolites,#Nightingale Metabolites,#RNAseq Gene expression,Download
300.11,Generalized anxiety disorder,mental disorders,67.65 ± 7.99,273/326295,55%,0,0,0,0,0,https://drive.google.com/file/d/1NiGD1Hxfzp884bDTbM2Qa34vLwmIMX67/view?usp=drivesdk
300.12,Agorophobia; social phobia; and panic disorder,mental disorders,67.64 ± 8.0,1501/327628,55%,0,0,0,0,0,https://drive.google.com/file/d/1BUwM_Q08LDJZiB3maoDK3F-1XiPTd25X/view?usp=drivesdk
300.13,Phobia,mental disorders,67.65 ± 7.99,1406/327516,55%,0,0,0,0,0,https://drive.google.com/file/d/1kv5MZjP3_X_sRnX04unBzi3hIkQESnO7/view?usp=drivesdk
300.3,Obsessive-compulsive disorders,mental disorders,67.65 ± 7.99,245/326260,55%,0,0,0,0,0,https://drive.google.com/file/d/1_vKun0vnzY4_3EcFVNLmbsj5sODF4vcj/view?usp=drivesdk
300.8,Acute reaction to stress,mental disorders,67.65 ± 7.99,165/326162,55%,0,0,0,0,0,https://drive.google.com/file/d/1_G77A--QOOG5ec0W69hZ0zapKxbg6K4s/view?usp=drivesdk
300.9,Posttraumatic stress disorder,mental disorders,67.65 ± 7.99,321/326354,55%,0,0,0,0,0,https://drive.google.com/file/d/1y5uv_gl5fpW9izzJGGykFvI_uc-udQSQ/view?usp=drivesdk
301,Personality disorders,mental disorders,67.64 ± 8.01,355/326360,55%,0,0,0,0,0,https://drive.google.com/file/d/1Dnmdssl2lQRcGCD-Zz1xtixFPP4GoOgO/view?usp=drivesdk
301.2,Antisocial/borderline personality disorder,mental disorders,67.65 ± 8.0,180/326178,55%,0,0,0,0,0,https://drive.google.com/file/d/1tgMWJeSPlbP7kXJyLox-OCsHiSqO4C6i/view?usp=drivesdk
302,Sexual and gender identity disorders,mental disorders,67.65 ± 7.99,467/326507,55%,0,0,0,0,0,https://drive.google.com/file/d/1aNcizg3ne8eBMzqdrebAcO-cH5mRkxZS/view?usp=drivesdk
303.3,Psychogenic disorder,mental disorders,67.64 ± 8.0,463/326471,55%,0,0,0,0,1,https://drive.google.com/file/d/1ot1F5V5uVL3T0ljm_t8U-wZUHeBtHJfd/view?usp=drivesdk
303.4,Somatoform disorder,mental disorders,67.65 ± 7.99,191/326201,55%,0,0,0,0,0,https://drive.google.com/file/d/1Lkr_4YNkU8u5ubwB3w0DS3VQbKGWMW3e/view?usp=drivesdk
304,Adjustment reaction,mental disorders,67.64 ± 8.0,374/326380,55%,0,0,0,0,0,https://drive.google.com/file/d/1dsn-nNWuA6TLWVxOPfodOAwihlcnozwk/view?usp=drivesdk
306,Other mental disorder,mental disorders,67.44 ± 8.01,54557/384324,53%,1,3,1,0,22,https://drive.google.com/file/d/1cy8E8vRpIMYLMiwXkLMfcJwwXNkUdlT-/view?usp=drivesdk
306.9,Tension headache,mental disorders,67.64 ± 8.0,495/326538,55%,0,0,0,0,0,https://drive.google.com/file/d/1TYranzWMvwEjUzUH1I-FN_gTm4yz4TQs/view?usp=drivesdk
315,Develomental delays and disorders,mental disorders,68.12 ± 7.95,619/408561,54%,22,0,1,0,0,https://drive.google.com/file/d/1rdTKs-S7b6bxMe5xEAKdXGACV8DEyRI6/view?usp=drivesdk
315.1,Learning disorder,mental disorders,68.11 ± 7.96,245/408119,54%,0,0,0,0,0,https://drive.google.com/file/d/1N1g37M6u5GBF44AvTH97kbfFOQ0aUA9w/view?usp=drivesdk
315.2,Speech and language disorder,mental disorders,68.12 ± 7.95,170/408045,54%,0,0,0,0,0,https://drive.google.com/file/d/1aEg07rwUpCwMuI7nf8r03_BMHBZeIfES/view?usp=drivesdk
316,Substance addiction and disorders,mental disorders,68.08 ± 7.98,516/366696,55%,0,0,0,0,1,https://drive.google.com/file/d/1MF7OqRU7qSvJhLau-VX4QaLIuO1QuF-S/view?usp=drivesdk
316.1,Polyneuropathy due to drugs,mental disorders,68.1 ± 7.96,176/366363,55%,0,0,0,0,1,https://drive.google.com/file/d/1AiHirgRVipjZOC0VJRCXH7OXZ3h15rsZ/view?usp=drivesdk
317,Alcohol-related disorders,mental disorders,67.9 ± 8.15,8135/374754,55%,1,0,1,0,0,https://drive.google.com/file/d/10knv2ZUDZgWwXCvs8GA_zRqqQbZnxR0K/view?usp=drivesdk
317.1,Alcoholism,mental disorders,67.91 ± 8.08,14016/380902,55%,0,0,0,0,0,https://drive.google.com/file/d/1BBMQ3ob2qAEL6lOXCVKoBzE6B7u8msmk/view?usp=drivesdk
317.11,Alcoholic liver damage,mental disorders,68.08 ± 7.98,1289/367563,55%,0,0,0,0,0,https://drive.google.com/file/d/1P8NARH0gtbS8DB9f80isb0EYQrId00QE/view?usp=drivesdk
318,Tobacco use disorder,mental disorders,67.52 ± 8.37,25903/392694,55%,1,0,4,0,9,https://drive.google.com/file/d/1nUM84_zYOsgJCxWnnBbYQM2IcoiQaY6S/view?usp=drivesdk
320,Meningitis,neurological,67.94 ± 7.98,567/392888,54%,0,0,0,0,0,https://drive.google.com/file/d/1dKp5gzmYMHVV0zKAGDI8ZOak6Xg614PM/view?usp=drivesdk
323,Encephalitis,neurological,67.95 ± 7.96,476/392828,54%,0,0,0,0,0,https://drive.google.com/file/d/1hBWY0l-6rQhMkXdaMG8IvWIAGBMg5mVF/view?usp=drivesdk
324,Other CNS infection and poliomyelitis,neurological,67.95 ± 7.96,14567/408339,54%,0,0,0,0,1,https://drive.google.com/file/d/1eRW0741GyHkza46xWk7msz0XvcIE-jp0/view?usp=drivesdk
327,Sleep disorders,neurological,68.07 ± 7.99,1275/401747,54%,0,0,0,0,0,https://drive.google.com/file/d/143Qp4ws-HQcvEFdt8HA6nmmNOjNZ5wcE/view?usp=drivesdk
327.3,Sleep apnea,neurological,67.98 ± 8.04,7305/408109,54%,0,0,0,0,0,https://drive.google.com/file/d/1gqkPW03MDj9AgTCoww6m5StrrMsdtgAQ/view?usp=drivesdk
327.41,Organic or persistent insomnia,neurological,68.1 ± 7.97,342/400834,55%,0,0,0,0,0,https://drive.google.com/file/d/1QGusilNvIQz2jix0Cn1ILzhMkblPpYum/view?usp=drivesdk
331,Other cerebral degenerations,neurological,68.01 ± 7.96,628/385676,54%,37,0,2,0,2,https://drive.google.com/file/d/1A8fj087bLNJA6x_avsxOahRB6KeGKkw8/view?usp=drivesdk
331.1,Hydrocephalus,neurological,68.0 ± 7.97,895/385928,54%,0,0,0,0,0,https://drive.google.com/file/d/1Bfcj_mZSoaZS8bTLti5ZhT0mlMT2zMy0/view?usp=drivesdk
331.9,Cerebral degeneration; unspecified,neurological,68.01 ± 7.96,1103/386250,54%,33,1,3,28,6,https://drive.google.com/file/d/1l8RO0-vPH61ac8F78lJZEX-c_era7Xe6/view?usp=drivesdk
332,Parkinson's disease,neurological,68.02 ± 7.95,2530/387787,54%,0,0,0,0,3,https://drive.google.com/file/d/1873vjL5j-WRKVtBqQk2x49x0saG3Wbd5/view?usp=drivesdk
333,Extrapyramidal disease and abnormal movement disorders,neurological,68.0 ± 7.96,798/385855,54%,0,0,1,0,1,https://drive.google.com/file/d/1PpwRVoL9kCXHgSJtJ0YO_cQ-jbUFw2aW/view?usp=drivesdk
333.1,Essential tremor,neurological,68.01 ± 7.96,673/385730,54%,0,0,0,0,0,https://drive.google.com/file/d/1GXumQy9h9HnBPdGC0RB2BDaH3v1X_3EW/view?usp=drivesdk
333.2,Myoclonus,neurological,68.0 ± 7.96,175/385139,54%,0,0,0,0,0,https://drive.google.com/file/d/1RbXLifaivfCxnXjivslJrxsAUOWzmQWa/view?usp=drivesdk
333.4,Torsion dystonia,neurological,68.0 ± 7.96,425/385402,54%,0,0,0,0,0,https://drive.google.com/file/d/19ojm8qjtQ1H8FenZ7ED3_wthUQxnbd9W/view?usp=drivesdk
333.8,Other degenerative diseases of the basal ganglia,neurological,68.01 ± 7.96,172/385158,54%,0,0,0,0,0,https://drive.google.com/file/d/17xOSzfY2zBC3jcxQEVCQrogr2lfKbfxc/view?usp=drivesdk
334,Degenerative disease of the spinal cord,neurological,67.98 ± 7.98,2464/387577,54%,0,0,0,0,0,https://drive.google.com/file/d/1f-53vzHKfhu5NOSA66Rt70xbHoJ3GRva/view?usp=drivesdk
334.1,Spinocerebellar disease,neurological,68.0 ± 7.96,221/385182,54%,1,0,0,0,0,https://drive.google.com/file/d/1W5ewapvA1hk0tiAOEE2INHFg1mgPtdL7/view?usp=drivesdk
334.2,Anterior horn cell disease,neurological,68.0 ± 7.96,463/385461,54%,0,0,0,0,0,https://drive.google.com/file/d/1zozujs315HG4WUo-pBAOiHPlRl4-KIrb/view?usp=drivesdk
335,Multiple sclerosis,neurological,67.95 ± 8.01,1685/386675,55%,45,6,2,0,107,https://drive.google.com/file/d/1iv47-c1u21svsHnj5KraPBDVSfcpgbPh/view?usp=drivesdk
337,Disorders of the autonomic nervous system,neurological,68.0 ± 7.96,314/385282,54%,0,0,0,0,0,https://drive.google.com/file/d/170aC49y9_tAnF1LsqVOxkjgqABGppb5_/view?usp=drivesdk
338.1,Acute pain,neurological,68.11 ± 7.96,555/408593,54%,0,0,0,0,0,https://drive.google.com/file/d/1Rw6LpD5sroFXxsyyTqfFDGa2-WgKS8sj/view?usp=drivesdk
338.2,Chronic pain,neurological,68.11 ± 7.96,674/408730,54%,0,0,0,0,0,https://drive.google.com/file/d/1OSWuURJhpTdOLGoIDfooBs5uT4Q49Tb5/view?usp=drivesdk
339,Other headache syndromes,neurological,67.89 ± 8.17,10915/404811,54%,0,0,1,0,1,https://drive.google.com/file/d/1CtFLsXVhG3La-lh0RttdXR1o_cWmAwK4/view?usp=drivesdk
340,Migraine,neurological,68.03 ± 8.04,4868/398529,54%,0,0,0,0,0,https://drive.google.com/file/d/1N3ktiCYTH5SB_H0pP2ZmPJNxSK8UOv6j/view?usp=drivesdk
340.1,Migrain with aura,neurological,68.13 ± 7.95,391/393700,54%,0,0,0,0,0,https://drive.google.com/file/d/1djceLvw3hWNOfxp-sgz2HC1_29QwAr3E/view?usp=drivesdk
341,Other demyelinating diseases of central nervous system,neurological,67.99 ± 7.97,301/385254,54%,4,1,0,0,2,https://drive.google.com/file/d/11qTLN1fMMFKcrv7r0KOr1_C97TSFtwnk/view?usp=drivesdk
342,Hemiplegia,neurological,67.98 ± 7.98,2867/388119,54%,0,0,0,0,0,https://drive.google.com/file/d/1h7Lq0ReROGfN2MJmeo9GaJQAM-BI6uBh/view?usp=drivesdk
343,Infantile cerebral palsy,neurological,68.0 ± 7.97,186/385142,54%,0,0,0,0,0,https://drive.google.com/file/d/1y3LEgRawUnxY2edJuoYJwU88VPzbw851/view?usp=drivesdk
344,Other paralytic syndromes,neurological,67.99 ± 7.98,1051/386082,54%,0,0,0,0,0,https://drive.google.com/file/d/1dmXx-uDzFrLlK0Os00Ahbfi_RZSqNlYC/view?usp=drivesdk
345,Epilepsy; recurrent seizures; convulsions,neurological,67.9 ± 8.06,4745/389933,54%,0,0,0,0,0,https://drive.google.com/file/d/1yyMCn-UzZPDh_kaAlVP6Cie4q5JUIeAi/view?usp=drivesdk
345.1,Epilepsy,neurological,68.0 ± 7.97,561/385553,54%,0,0,0,0,0,https://drive.google.com/file/d/1hhBWNO_PyxOozS4b3xMRR-BrMz6u494S/view?usp=drivesdk
345.11,Generalized convulsive epilepsy,neurological,67.99 ± 7.97,656/385634,54%,0,0,0,0,0,https://drive.google.com/file/d/1EDktyMv2uJYHhwZ0t87rQYf8VectGevp/view?usp=drivesdk
345.12,Partial epilepsy,neurological,68.0 ± 7.97,421/385396,54%,0,0,0,0,0,https://drive.google.com/file/d/1hpGSzDI4NcRL_4TNq8GtAXqKBxHIADtO/view?usp=drivesdk
345.3,Convulsions,neurological,67.95 ± 8.02,3577/388787,54%,0,0,0,0,0,https://drive.google.com/file/d/1gTxllki6oEMxCDLNcH0H9YsD0VWRhmoU/view?usp=drivesdk
346.1,Nonspecific abnormal findings on radiological and other examination of skull and head,neurological,68.0 ± 7.96,260/385232,54%,0,1,0,0,2,https://drive.google.com/file/d/1kbR5mk3Wbq04lNfYtaJEg4ssrDfJWR3q/view?usp=drivesdk
348,Other conditions of brain,neurological,68.0 ± 7.96,303/385277,54%,0,0,0,0,0,https://drive.google.com/file/d/1erCixT6V0G_8Hl4Jvx6sr1TKUuX_lNmN/view?usp=drivesdk
348.2,Cerebral edema and compression of brain,neurological,68.0 ± 7.97,546/385554,54%,0,0,0,0,0,https://drive.google.com/file/d/14o95lEifvTO1UnZIivGiQTj0Zjt2Kbwm/view?usp=drivesdk
348.4,Cerebral cysts,neurological,68.0 ± 7.96,217/385185,54%,0,0,0,0,0,https://drive.google.com/file/d/1slbvkgykV6Wp4cNbQu7BdaLUoo5C1jp4/view?usp=drivesdk
348.7,Coma,neurological,68.0 ± 7.97,598/385592,54%,0,0,0,0,0,https://drive.google.com/file/d/1WY7GDmj-u2awxK9VtI0t_-9x31G5xGD8/view?usp=drivesdk
348.8,Encephalopathy; not elsewhere classified,neurological,68.0 ± 7.96,281/385257,54%,0,0,0,0,0,https://drive.google.com/file/d/1Cy8bQl-4ibt5xAkDQ0Zl1Og30Bo608K0/view?usp=drivesdk
348.9,Other conditions of brain; NOS,neurological,68.0 ± 7.96,829/385879,54%,0,0,0,0,0,https://drive.google.com/file/d/1roJMvD-mIsCDS3qjc6i10hIJrb8WoIdQ/view?usp=drivesdk
349,Other and unspecified disorders of the nervous system,neurological,68.0 ± 7.97,715/385728,54%,0,0,0,0,0,https://drive.google.com/file/d/1UX0EHGg00W0twZwxRhFWxL3XSWkoofX0/view?usp=drivesdk
350.1,Abnormal involuntary movements,neurological,68.02 ± 7.97,1739/402085,54%,0,0,0,0,0,https://drive.google.com/file/d/1WoEPjanJCfmUJdXDU4V1LWUBA9N2webN/view?usp=drivesdk
350.2,Abnormality of gait,neurological,68.07 ± 7.96,5944/407122,54%,0,0,0,0,0,https://drive.google.com/file/d/1Ye-jkn25YJ1xBAh-I7c4fMAczAf5iokN/view?usp=drivesdk
350.3,Lack of coordination,neurological,68.03 ± 7.96,644/400880,54%,0,0,0,0,0,https://drive.google.com/file/d/1xa7ncCjXalzgnyg221X75eN-oASRb1QI/view?usp=drivesdk
351,Other peripheral nerve disorders,neurological,67.69 ± 8.22,16237/405268,54%,9,2,1,0,15,https://drive.google.com/file/d/1vVco199ZpLCvCgFjrQQjsIM-3xDO73_D/view?usp=drivesdk
352.1,Trigeminal nerve disorders [CN5],neurological,68.03 ± 7.98,775/389498,54%,0,0,0,0,0,https://drive.google.com/file/d/15yOag-COMkr-6sn7nXZ_M5PPlpZcNkLQ/view?usp=drivesdk
352.2,Facial nerve disorders [CN7],neurological,68.02 ± 7.99,1342/390104,54%,0,0,0,0,0,https://drive.google.com/file/d/1blMPgvSTSY80NaoVmmYzPNNIJHNJfDTv/view?usp=drivesdk
353,Nerve root and plexus disorders,neurological,68.03 ± 7.98,1859/390672,54%,0,0,0,0,0,https://drive.google.com/file/d/1niOytRC9X8B8JZU0cpg6oVcbh8Gh7DT7/view?usp=drivesdk
353.1,Nerve plexus lesions,neurological,68.04 ± 7.98,163/388840,54%,0,0,0,0,0,https://drive.google.com/file/d/1mkRhevYAUHTrJ-8gnPR3EJ-st6oaME7o/view?usp=drivesdk
356,Hereditary and idiopathic peripheral neuropathy,neurological,68.09 ± 7.96,259/405408,54%,0,0,0,0,0,https://drive.google.com/file/d/1gSuA3f4i0e5md9_z5CWLDxd3XfQI27er/view?usp=drivesdk
357,Inflammatory and toxic neuropathy,neurological,68.08 ± 7.97,2881/408318,54%,0,0,0,0,0,https://drive.google.com/file/d/1gHBSDE2RjnGfRQLu9uHY7yvLiW2ThVJW/view?usp=drivesdk
358.1,Myasthenia gravis,neurological,68.09 ± 7.96,275/405426,54%,0,0,0,0,1,https://drive.google.com/file/d/16PbJig60wxx39tUjfaUT2KsRBX4lEGSK/view?usp=drivesdk
359.1,Muscular dystrophies,neurological,68.09 ± 7.96,184/405321,54%,0,0,0,0,0,https://drive.google.com/file/d/1SIIe-Ktu4-zStUJTeVkEiJBbEL6gK2NI/view?usp=drivesdk
359.2,Myopathy,neurological,68.09 ± 7.96,394/405548,54%,0,0,0,0,0,https://drive.google.com/file/d/1BI2vnAJF-K4Bxcucy1_JUqJISMEEh5OQ/view?usp=drivesdk
360.2,Progressive myopia,sense organs,67.83 ± 7.96,378/386157,54%,0,0,0,0,0,https://drive.google.com/file/d/13s9AWnLAQ1VJhBRN2TosX2kuVgns5gNF/view?usp=drivesdk
361,Retinal detachments and defects,sense organs,67.78 ± 7.98,2756/388616,54%,0,0,0,0,0,https://drive.google.com/file/d/1ivRU8UkfGBXa-qvogRD9CizLbTfzIX9g/view?usp=drivesdk
361.1,Retinal detachment with retinal defect,sense organs,67.8 ± 7.97,2064/387945,54%,0,0,0,0,0,https://drive.google.com/file/d/17xJqS8uRzlHtcb7ybld8YHj_USZ6vUKt/view?usp=drivesdk
362,Other retinal disorders,sense organs,67.81 ± 7.96,1640/385786,54%,0,0,0,0,0,https://drive.google.com/file/d/1PmrWZYruT3u5YQVEMoUdWE1dPhlt3SBH/view?usp=drivesdk
362.2,Degeneration of macula and posterior pole of retina,sense organs,67.86 ± 7.95,5800/390519,54%,93,0,0,2,17,https://drive.google.com/file/d/1iKcWlQYKWwaW5LV4xcZBQ_Zk-o8GzIOV/view?usp=drivesdk
362.29,Macular degeneration (senile) of retina NOS,sense organs,67.86 ± 7.95,5797/390516,54%,93,0,0,2,17,https://drive.google.com/file/d/17z5J4FOkyoTUGTGBEoxTn1WLRvQgyYGh/view?usp=drivesdk
362.31,Separation of retinal layers,sense organs,67.82 ± 7.96,176/384248,54%,0,0,0,0,0,https://drive.google.com/file/d/1sAISuRfsFD0IqXTcQjk4Xfj6MjS3DdTm/view?usp=drivesdk
362.4,Retinal vascular changes and abnomalities,sense organs,67.81 ± 7.96,1576/385752,54%,0,0,0,0,0,https://drive.google.com/file/d/1417__v5yBVrKKjDIj1nL0BybjTpvM1-B/view?usp=drivesdk
362.6,Peripheral retinal degenerations,sense organs,67.81 ± 7.96,262/384323,54%,0,0,0,0,1,https://drive.google.com/file/d/1oMHF9jwzyGoUt58FvFHD7cQMcRxGsNxc/view?usp=drivesdk
362.7,Hereditary retinal dystrophies,sense organs,67.82 ± 7.96,158/384220,54%,0,0,0,0,1,https://drive.google.com/file/d/1cv2tq1yie7iMeMYWLzdNeFTU6rzk4vQz/view?usp=drivesdk
363,Chorioretinal inflammations; scars; and other disorders of choroid,sense organs,67.83 ± 7.96,171/385955,54%,0,0,0,0,1,https://drive.google.com/file/d/1C6kuNqq8i0Vaz0t_vKTKnvmuHKYhZ-rW/view?usp=drivesdk
363.3,Chorioretinal scars,sense organs,67.83 ± 7.96,174/385953,54%,0,0,0,0,0,https://drive.google.com/file/d/1SIHzBVleRMd-2ODFKoLj3G0MDar5lI5l/view?usp=drivesdk
364,Corneal opacity and other disorders of cornea,sense organs,67.83 ± 7.96,482/386278,54%,0,0,0,0,0,https://drive.google.com/file/d/19ys5LRdX1Y-tcDXkeojdpm5x7TIQ381B/view?usp=drivesdk
364.1,Corneal opacity,sense organs,67.83 ± 7.96,218/385996,54%,0,0,0,0,0,https://drive.google.com/file/d/104EbWsLMoTH3-r1rr_N5Znn9Jfog_YaH/view?usp=drivesdk
364.2,Corneal edema,sense organs,67.83 ± 7.96,171/385953,54%,0,0,0,0,1,https://drive.google.com/file/d/1eXErskBEECYvpt-UYchkvFZHIaO9UI0I/view?usp=drivesdk
364.4,Corneal degenerations,sense organs,67.84 ± 7.96,877/386902,54%,0,0,0,0,0,https://drive.google.com/file/d/1vMxIvuIwC5eoSy0757H3g1srvEIFknKo/view?usp=drivesdk
364.5,Corneal dystrophy,sense organs,67.83 ± 7.96,523/386346,54%,0,0,0,0,1,https://drive.google.com/file/d/1nNa3R0eCFMxGaIdw-XxSNx1whQIPQHF1/view?usp=drivesdk
364.9,Cornea replaced by transplant,sense organs,67.83 ± 7.96,201/385972,54%,0,0,0,0,0,https://drive.google.com/file/d/1x_YOsaACOGDNFh5jRzbOVMlmphjA8ZnG/view?usp=drivesdk
365,Glaucoma,sense organs,67.84 ± 7.95,7554/394019,54%,0,0,0,0,9,https://drive.google.com/file/d/1IoNCm2iV5wCC1hNs4qwoOAI9LDeqSW_J/view?usp=drivesdk
365.11,Primary open angle glaucoma,sense organs,67.84 ± 7.95,2325/388329,54%,0,0,0,0,1,https://drive.google.com/file/d/1e8bfTSp0EuC-IqHRdrC7RWU_gmVCNoOX/view?usp=drivesdk
365.2,Primary angle-closure glaucoma,sense organs,67.83 ± 7.96,1309/387147,54%,0,0,0,0,0,https://drive.google.com/file/d/1BkPQyME5XyNWwBl-UPz926gTs2DPCHQG/view?usp=drivesdk
366,Cataract,sense organs,67.5 ± 7.89,31944/399157,54%,11,2,1,0,48,https://drive.google.com/file/d/1R7cbKujNTogCjzGsLLAdcjrLiStdv5G6/view?usp=drivesdk
366.2,Senile cataract,sense organs,67.55 ± 7.86,20856/387646,54%,3,3,0,0,22,https://drive.google.com/file/d/19Ee4vy5BdwCtQOwOy-9fl9BtR_hvpQ0o/view?usp=drivesdk
367,Disorders of refraction and accommodation; blindness and low vision,sense organs,68.04 ± 7.96,242/401930,54%,0,0,0,0,0,https://drive.google.com/file/d/1-gsw3ubQpKHvdk-t_amXX-kv7AHKU6Se/view?usp=drivesdk
367.1,Myopia,sense organs,68.03 ± 7.96,2730/404537,54%,0,0,0,0,1,https://drive.google.com/file/d/1PYKd2T7SUZiNwDDPqGSCQEKTDBWshaTO/view?usp=drivesdk
367.2,Astigmatism,sense organs,68.07 ± 7.96,2071/404413,54%,0,0,0,0,0,https://drive.google.com/file/d/18exS2J2tknq-DoxHPMskuiwaCzviUgcw/view?usp=drivesdk
367.8,Hypermetropia,sense organs,68.04 ± 7.96,572/402263,54%,0,0,0,0,0,https://drive.google.com/file/d/1Nh_McIyVqT1KGfIkjH6rSXhkKMjpWTmK/view?usp=drivesdk
367.9,Blindness and low vision,sense organs,68.03 ± 7.97,1222/402950,54%,0,0,0,0,0,https://drive.google.com/file/d/1AHey2jodZWkEUin88DG5GX2eNLpaoW_A/view?usp=drivesdk
368,Visual disturbances,sense organs,68.05 ± 7.98,1772/404503,54%,0,0,0,0,0,https://drive.google.com/file/d/1BZx4K2sgy9dSBywpbq5TZg_kMRm3cZ__/view?usp=drivesdk
368.1,Amblyopia,sense organs,68.08 ± 7.95,1220/403854,54%,0,0,0,0,0,https://drive.google.com/file/d/1WhwRcOhIAE11zjb66uw9a47Baa63-d_O/view?usp=drivesdk
368.2,Diplopia and disorders of binocular vision,sense organs,68.06 ± 7.97,1243/403896,54%,0,0,1,0,0,https://drive.google.com/file/d/1b1abTpv4tnR25JPK_HD1GvMfmVgQ5E_U/view?usp=drivesdk
368.3,Anisometropia,sense organs,68.08 ± 7.95,420/403022,54%,0,0,0,0,0,https://drive.google.com/file/d/19X9A8CkC2HLHr57eUOoHkiezHG0DvSxH/view?usp=drivesdk
368.4,Visual field defects,sense organs,68.07 ± 7.96,704/403341,54%,0,0,0,0,0,https://drive.google.com/file/d/1NFtmKmetGFd1HPUr65x52sY3DBvuPb_t/view?usp=drivesdk
368.9,Subjective visual disturbances,sense organs,68.06 ± 7.97,1130/403791,54%,0,0,0,0,0,https://drive.google.com/file/d/1MeBQGdgI_RZkzK0aJMe01koQQb--V5Wv/view?usp=drivesdk
369,Infection of the eye,sense organs,68.01 ± 7.97,367/395351,54%,0,0,0,0,0,https://drive.google.com/file/d/154cS1_vhBuNgIy2IyJ25HgSIhj00m73J/view?usp=drivesdk
369.2,Eye infection; viral,sense organs,68.02 ± 7.96,231/395224,54%,0,0,0,0,0,https://drive.google.com/file/d/1XyaMqkkJbfhJyNtmhxlHka9p6xAYxw-n/view?usp=drivesdk
369.5,Conjunctivitis; infectious,sense organs,68.01 ± 7.96,440/395444,54%,0,0,0,0,0,https://drive.google.com/file/d/1CVFHPet-p7VJ_41lU8bIm4_bAHwas-5g/view?usp=drivesdk
370,Keratitis,sense organs,68.01 ± 7.96,239/395230,54%,0,0,0,0,0,https://drive.google.com/file/d/1BTmFs75WHY0JGIrCfVHePWlEVB7l_mEh/view?usp=drivesdk
370.1,Corneal ulcer,sense organs,68.01 ± 7.96,223/395200,54%,0,0,0,0,1,https://drive.google.com/file/d/1zLB7kK7LDawZNDEwWVh2Q0y01e4KH4q1/view?usp=drivesdk
371,Inflammation of the eye,sense organs,68.01 ± 7.97,254/395234,54%,0,0,0,0,0,https://drive.google.com/file/d/1LiuVIlpOPXmXuMyS7wNQO4rOnKSBg6Zz/view?usp=drivesdk
371.1,Uveitis; noninfectious or NOS,sense organs,68.01 ± 7.97,790/395812,54%,0,0,0,0,1,https://drive.google.com/file/d/1QXYhSdq5nd-qWp7ZYLXGcpegpLKc2Jvz/view?usp=drivesdk
371.3,Inflammation of eyelids,sense organs,67.94 ± 8.03,3167/398265,54%,3,0,0,0,9,https://drive.google.com/file/d/1IDZ3-lbYaTRZoz38EJ-_P_aRMVwxecjv/view?usp=drivesdk
372,Disorders of conjunctiva,sense organs,68.0 ± 7.97,1209/396234,54%,0,0,0,0,0,https://drive.google.com/file/d/1R7zmicHpGNLvk7cK6hM3oVd3MZ5GN7N9/view?usp=drivesdk
374,Other disorders of eyelids,sense organs,67.94 ± 8.02,4062/399201,54%,0,0,0,0,0,https://drive.google.com/file/d/1QCSoZ59F816YqO71aJEG_PQDWnDrdubI/view?usp=drivesdk
374.1,Ectropion or entropion,sense organs,68.02 ± 7.96,1867/396954,54%,0,0,0,0,0,https://drive.google.com/file/d/1uj9xlBknjr_QelqI-r6vvap_IHESP3G0/view?usp=drivesdk
374.3,Ptosis of eyelid,sense organs,67.99 ± 7.97,2735/397823,54%,0,0,0,0,0,https://drive.google.com/file/d/1osnYSsk7x1BRbpj1SsEeNuQ1YfG128-S/view?usp=drivesdk
375,Disorders of lacrimal system,sense organs,67.93 ± 7.97,2728/396415,54%,0,0,0,0,0,https://drive.google.com/file/d/16NFL5BPO_NsIaEMo3UnTu5fe4ONns8De/view?usp=drivesdk
375.2,Epiphora,sense organs,67.94 ± 7.96,1284/394825,54%,1,0,0,0,0,https://drive.google.com/file/d/1qP-NuyMCx4IGAH_AFOrNR8WX-cWUzDyl/view?usp=drivesdk
377,Disorders of optic nerve and visual pathways,sense organs,67.95 ± 7.96,378/393909,54%,0,0,0,0,0,https://drive.google.com/file/d/1Xelz8evGxq7G-1V1SMgHAim6qfBvdyKD/view?usp=drivesdk
377.3,Optic neuritis/neuropathy,sense organs,67.95 ± 7.96,299/393826,54%,0,0,0,0,0,https://drive.google.com/file/d/1FCV3tL_l1uiY9vnEJQqm5_cx4qYnDjGz/view?usp=drivesdk
378.1,Strabismus (not specified as paralytic),sense organs,67.92 ± 7.99,1246/394786,54%,0,0,0,0,0,https://drive.google.com/file/d/13SO9pt8r-Y0K-aHQUpcSlH-F3bFR6LCo/view?usp=drivesdk
378.2,Nystagmus and other irregular eye movements,sense organs,67.95 ± 7.96,393/393941,54%,0,0,0,0,0,https://drive.google.com/file/d/17QAkBwQJhS4hdCJsssAaqgBLONrjhPSj/view?usp=drivesdk
378.5,Paralytic strabismus,sense organs,67.95 ± 7.96,476/394012,54%,0,0,0,0,0,https://drive.google.com/file/d/10RhKvF3DH-m5zwAKTQmS5hsU2V2Spmai/view?usp=drivesdk
379,Other disorders of eye,sense organs,67.95 ± 7.96,509/394070,54%,0,0,0,0,0,https://drive.google.com/file/d/1pPIeX4yPpjc0FFjKN3_glq68kA5PcarZ/view?usp=drivesdk
